Fase;Studieonderdeel;Toetsdatum;Officieel  cijfer
Bachelor;Learning Skills op;4-11-2014;7,2
Bachelor;Business tentamen;7-11-2014;7,3
Bachelor;Databases opdrachten;7-11-2014;7
Bachelor;Databases tentamen;7-11-2014;6,9
Bachelor;Business tentamen;5-12-2014;7
Bachelor;Project Skills mondeling;19-1-2015;7
Bachelor;Management & Organization ts;28-1-2015;7
Bachelor;PFYS: Product;30-1-2015;7
Bachelor;PFYS: Proces;30-1-2015;7,5
Bachelor;PFYS: Methoden en technieken;30-1-2015;8
Bachelor;Domeinproject pr;7-2-2015;6,9
Bachelor;Programming opdrachten;13-3-2015;vold.
Bachelor;Programming practicum;13-3-2015;6,5
Bachelor;Infrastructure tentamen;27-3-2015;6,1
Bachelor;Business Info. Syst. tentamen;10-4-2015;6,7
Bachelor;Infrastructure tentamen;10-4-2015;6,1
Bachelor;PAD: Proces SCRUM;10-4-2015;9,4
Bachelor;Research Skills pa;25-5-2015;6
Bachelor;Business Info. Syst. procesm.;29-5-2015;4,7
Bachelor;Business Info. Syst. procesm.;29-5-2015;7,6
Bachelor;Business Info. Syst. tentamen;29-5-2015;7
Bachelor;PAD: Methoden & technieken UML;29-5-2015;8,3
Bachelor;IT Service Management tentamen;15-6-2015;8,5
Bachelor;User Interaction tentamen;17-6-2015;8
Bachelor;Communication Skills mondeling;18-6-2015;6
Bachelor;Essential Skills English toets;18-6-2015;7,5
Bachelor;Essential Skills Nederlands td;24-6-2015;6
Bachelor;PAD: Product;26-6-2015;7
Bachelor;PAD: Proces mondeling;26-6-2015;7,5
Bachelor;PAD: Proces mondeling;3-7-2015;7,5
Bachelor;Business Intelligence pract.;6-11-2015;7
Bachelor;Business Intelligence theory;6-11-2015;6,7
Bachelor;Financial Management paper;6-11-2015;7
Bachelor;Financial Management theory;6-11-2015;5,7
Bachelor;Job Orientation assignments;6-11-2015;7
Bachelor;PSP Out of the Box op;18-1-2016;7
Bachelor;PAD: Methoden en technieken tm;20-1-2016;8
Bachelor;PBPM process;27-1-2016;8,5
Bachelor;PBPM product;29-1-2016;7
Bachelor;PBPM theorie/practicum toets;29-1-2016;6,5
Bachelor;PBPM methoden en technieken;29-1-2016;7
Bachelor;Change Management practical;29-1-2016;8
Bachelor;Testing theory;29-1-2016;5,4
Bachelor;Change Management theory;18-3-2016;6,1
Bachelor;Testing theory;18-3-2016;6,9
;;Gemiddelde:;7,025581395
;;Hoogste cijfer:;9,4
;;Laagste cijfer:;4,7
