Toetsonderdel,Cijfer
Sorting and Searching theory,2.8
Trends in innovatie pa,8 
Software testen,6
Design Patterns practicum,5
Design Patterns theorie,6
Requirements Engineering,7
Bedrijfspunt,1,8
PEWA WEB theory,4.0
PSP Time Management,7.0
Mobile Infrastructure,4.7 
Mobile Society paper,5.0 
Mobile Society presentatie,7.4
Mobile Design & Prototyping ,6,5 
Essential Skills Nederlands ts,8.0 
PMD methoden en technieken,5,5
PMD process,5,0
PMD methoden en technieken,5,0
PMD product,8,5
PSP Professioneel schrijven,6,0
OOAD theory,6.0
Databases tentamen,6,5
Databases 2 tentamen,6,6
User Interaction tentamen,7.0
Essential Skills English toets,6,0
PAD: Product,6,0
PAD: Proces mondeling,8,0
PAD: Methoden en technieken,8,0
Communication Skills mondeling,6,0
Project Skills mondeling,6,5
Object Oriented Programming,3,2
Research Skills pa,7,2
PFYS Product,7.0
Network Engineering 1,1,0
Learning Skills op,5,6



