Course,Description,Units,When,Grade,Leerlingnummer
DMCI-ICT 1000BUS_14,Business,3,12/19/2014,6,500716747
DMCI-ICT 1000CSK_14,Communication Skills,2,06/18/2015,7,500716747
DMCI-ICT 1000DB__14,Databases,3,11-07-14,8,500716747
DMCI-ICT 1000ESK_14,Essential Skills,3,06/24/2015,-,500716747
DMCI-ICT 1000INF_14,Infrastructure,3,04-10-15,6,500716747
DMCI-ICT 1000LSK_14,Learning Skills,2,11-04-14,8,500716747
DMCI-ICT 1000PAD_14,Project Agile Development,11,06/26/2015,7,500716747
DMCI-ICT 1000PFYS14,Project Fasten Your Seatbelts,12,01/30/2015,7,500716747
DMCI-ICT 1000PRO_14,Programming,0,04-02-15,-,500716747
DMCI-ICT 1000PSK_14,Project Skills,2,01/19/2015,8,500716747
DMCI-ICT 1000RSK_14,Research Skills,2,04-10-15,7,500716747
DMCI-ICT 1000SIM_14,Domeinproject,1,02-07-15,9,500716747
DMCI-ICT 1000USIA14,User Interaction,3,06/17/2015,7,500716747
DMCI-ICT 1000BIS_13,Business Information Systems,3,05/29/2015,8,500716747
DMCI-ICT 1000ITSM13,IT Service Management,3,06/15/2015,6,500716747
DMCI-ICT 1000MO_13,Management & Organization,3,01/28/2015,7,500716747
DMCI-ICT 2000JO__14,Job Orientation,2,11-06-15,6,500716747
DMCI-ICT 2000PEER14,Peer-assessment,1,01/18/2016,7,500716747
DMCI-ICT 2000TEST15,Testing,3,03/18/2016,6,500716747
DMCI-ICT 2000BI__14,Business Intelligence,3,12/18/2015,7,500716747
DMCI-ICT 2000BPM_14,Pr Business Process Management,12,03/18/2016,8,500716747
DMCI-ICT 2000CM__14,Change Management,3,02/18/2016,7,500716747
DMCI-ICT 2000FM__14,Financial Management,3,11-06-15,7,500716747
