studentnr,Toets,Vak,Cijfer
500713711,DMCI-ICT 1000BUS_14,Business,7
500713711,DMCI-ICT 1000CSK_14,Communication Skills,8
500713711,DMCI-ICT 1000DB__14,Databases,6
500713711,DMCI-ICT 1000ESK_14,Essential Skills,8
500713711,DMCI-ICT 1000INF_14,Infrastructure,7
500713711,DMCI-ICT 1000LSK_14,Learning Skills,7
500713711,DMCI-ICT 1000PAD_14,Project Agile Development,7
500713711,DMCI-ICT 1000PFYS14,Project Fasten Your Seatbelts,6
500713711,DMCI-ICT 1000PRO_14,Programming,7
500713711,DMCI-ICT 1000PSK_14,Project Skills,6
500713711,DMCI-ICT 1000BIS_13,Business Information Systems,8
500713711,DMCI-ICT 1000ITSM13,IT Service Management,6
500713711,DMCI-ICT 1000MO_13,Management & Organization,6
500713711,DMCI-ICT 2000JO__14,Job Orientation,6
500713711,DMCI-ICT 2000PEER14,Peer-assessment,8
500713711,DMCI-ICT 2000TEST15,Testing,7
500713711,DMCI-ICT 2000BI__14,Business Intelligence,7
500713711,DMCI-ICT 2000BPM_14,Pr Business Process Management,7
500713711,DMCI-ICT 2000CM__14,Change Management,7
500713711,DMCI-ICT 2000FM__14,Financial Management,7
